Gesture_Sequence,Natural_Sentence
Hello+Please,"Hello, could you please assist me?"
Hello+Help,"Hello, would you please help me?"
Hello+Yes,"Hello, yes, I agree with that."
Hello+No,"Hello, no, thank you very much."
Goodbye+ThankYou,"Goodbye, and thank you for everything."
Yes+Please,"Yes, please, I would like that."
No+ThankYou,"No, thank you, I appreciate the offer."
Please+Wait,Please wait for just a moment.
Please+Stop,Please could you stop what you're doing?
Please+Help,"Please, would you be able to help me?"
Sorry+Yes,"I am sorry, but yes, that is the case."
Sorry+No,"I am sorry, but no, I cannot."
Sorry+Wait,"I am sorry, but please wait a moment."
Hungry+Please,"I am feeling hungry, could you please get me some food?"
Water+Please,"I am very thirsty, could you please give me some water?"
Pain+Help,"I am in pain, please could you help me?"
Emergency+Help,"This is an emergency, I need help immediately!"
Emergency+Stop,"Please stop what you are doing, this is an emergency!"
Home+Please,"I would like to go home now, please."
Hello+Please+Help,"Hello, could you please help me with something?"
Hello+Hungry+Please,"Hello, I am feeling quite hungry, please."
Hello+Water+Please,"Hello, I really need some water, please."
Sorry+Please+Wait,"I am sorry, but could you please wait a moment?"
Please+Stop+Pain,"Please stop doing that, it is causing me pain."
Yes+Home+Please,"Yes, I would like to go home now, please."
No+Stop+Please,"No, I do not want that; please stop."
Emergency+Pain+Help,"This is an emergency, I am in severe pain, please help me!"
Hello,"Hello there, how are you?"
Goodbye,"Goodbye, I will see you later."
Yes,"Yes, I agree with what you said."
No,"No, I am sorry, but I disagree."
Please,"Please, if you wouldn't mind."
ThankYou,"Thank you very much for your help."
Sorry,"I am very sorry for what happened."
Help,"Please, can someone help me?"
Stop,"Please stop doing that immediately."
Wait,"Please wait here for a moment."
Hungry,"I am feeling quite hungry right now."
Water,"I would like some water to drink, please."
Pain,"I am currently in a lot of pain."
Emergency,"This is an emergency situation!"
Home,"I want to go back home now."
Hello+Goodbye,"Well, hello and goodbye for now."
Hello+ThankYou,"Hello there, and much appreciated for your help."
Hello+Sorry,"Hello, I must apologize for what happened."
Hello+Stop,"Hi there, could you please stop right there?"
Hello+Wait,"Hey, could you hold on for a moment?"
Hello+Hungry,"Hey, I just wanted to say that I'm hungry."
Hello+Water,"Hi there, I really need some water."
Hello+Pain,"Hi, I need to tell you that I am suffering."
Hello+Emergency,"Hi, this is urgent!"
Hello+Home,"Hello there, let's go home now."
Goodbye+Hello,"Well, goodbye for now... and hello again."
Goodbye+Yes,"Goodbye. And yes, that is correct."
Goodbye+No,"Goodbye. And no, that is incorrect."
Goodbye+Please,"I am leaving now. Please take care."
Goodbye+Sorry,"Goodbye. And please accept my apologies."
Goodbye+Help,"Goodbye. But before I go, I need your assistance."
Goodbye+Stop,"Goodbye. Could you please halt?"
Goodbye+Wait,"I am leaving now. Please wait a moment for me."
Goodbye+Hungry,"Goodbye. I need to get some food."
Goodbye+Water,"Goodbye. I need to find some water."
Goodbye+Pain,"See you later. I'm in a bit of pain right now."
Goodbye+Emergency,"Goodbye. This is actually an emergency!"
Goodbye+Home,"Goodbye. I really want to go home now."
Yes+Hello,"Yes, that's right. Hello to you too."
Yes+Goodbye,"Indeed, that is correct. Goodbye for now."
Yes+No,"That is correct. However, that other part is incorrect."
Yes+ThankYou,"Yes, that is correct, and much appreciated."
Yes+Sorry,"Yeah, that's right, and I apologize for any confusion."
Yes+Help,"Yeah, I need some assistance with this."
Yes+Stop,"Yeah, please wait right there for a moment."
Yes+Wait,"Correct, that's right. Give me just a second."
Yes+Hungry,"Correct. And on that note, I'm feeling hungry."
Yes+Water,"Yeah, and I could really use a drink."
Yes+Pain,"Correct. And unfortunately, I am in pain."
Yes+Emergency,"Indeed, that is correct. This is urgent!"
Yes+Home,"Yes, that is right. Please take me home now."
No+Hello,"No, that is not right. Hello, though."
No+Goodbye,"Nope, that is incorrect. I am leaving now."
No+Yes,"No, that is wrong. Well, yes to the other part."
